hazle	hazles,hazel
pro-vice-chancellor	vice-chancellor,pro-
spinetail	tail,spine
lachrymose	lacrimosus,tear,dacrima,lacrima,-osus
bisaccia	sacca,bi-
stalder	stall,stallr,stald
posole	pozole,posoles
kannagi	romaji,かんなぎ
hotpants	hot,pants
smoothe	smoothes,smoothing,smoothed,smooth
olaria	pottery,olarias
pudiera	poder,él,yo,usted,ella
anarcho-capitalism	capitalism,anarcho-
asphyxiate	kvalast,asfissiare,asphyxiates,kvala,asphyxiating,kódna,tukehduttaa,tukehtua,asphyxier,køvast,asfixiarse,asphyxia,задушить,asphyxiated,asfixiar,suffocate,задохнуться,задыхаться,smother,душить
copulatory	copulative,copulation
radiochemical	radio-,chemical
demodulation	modulation,de-
imposture	impostus,imposture,impostura
underclothes	under,clothes
jump-start	electrical current,motor vehicle,booster cable,jump-starting,reactivate,rejuvenate,start,jump-started,jump-starts,battery,boost,jump,charged
easiness	easy,-ness
rifampin	tuberculosis,rifampicin,rifampins,medicine,antibiotic,drug
trapezium	τραπέζιον,trapezium,τράπεζα
monozygotic	zygotic,mono-
acetal	acetic,alcohol
glossolalia	λάλος,γλῶσσα,λαλιά,-ία,-lalia,pray,speaking in tongues,glosso-
texte	texo,textus
obeah	obi,obia,obea,oby,obe
archaically	archaic,-ally
raspe	present tense,raspen,subjunctive mood,singular
crimefighting	fighting,crime
whassup	wassup,that's whassup
unshackle	un-,shackle
souvlaki	souflaki,souvlakia
decriminalise	de-,criminalise
angiogenic	angio-,-genic
lake-effect	lake,lake effect,effect,-
derogatorily	derogatory,-ly
unimodular	modular,uni-
gotee	él,yo,usted,gotear,ella
gemologist	-ist,gemology
short-legged	more,most,shortlegged,legged,short
biotope	βίος,τόπος
sperimentale	sperimentalmente,sperimentalismo,sperimentali,experimental,esperimento,sperimentare
höchst	hoch,-st
footlong	long,foot
officiant	eucharist,civil,ceremony,officiate,religious,wedding,officiants
morisco	letter case,moriscos
anzen	romaji,あんぜん
kadiri	musiokadiri,kisingekadiri,kusiokadiri,kuliokadiri,musipokadiri,hazingekadiri,hamkukadiri,vikadiri,pakadiri,assess,nikikadiri,panaokadiri,kisikadiri,kisipokadiri,zitakaokadiri,kukadiri,yatakadiri,hawajakadiri,tulikadiri,halingekadiri,visikadiri,zikadiri,mukadiri,yakakadiri,mwalikadiri,ingelikadiri,pasipokadiri,nikakadiri,atakaokadiri,hamtakadiri,lisiokadiri,lisipokadiri,walikadiri,yangalikadiri,ukakadiri,vitakaokadiri,vinakadiri,wamekadiri,halijakadiri,wanaokadiri,paliokadiri,ukikadiri,hangalikadiri,mtakadiri,nisiokadiri,mumeshakadiri,kisiokadiri,hamutakadiri,hakadiri,kilikadiri,mukakadiri,hapakukadiri,kiliokadiri,haingalikadiri,viliokadiri,lakadiri,wakadiri,haujakadiri,hakujakadiri,kukakadiri,usipokadiri,kunaokadiri,kisingalikadiri,inaokadiri,pangalikadiri,haukukadiri,hakikukadiri,vimeshakadiri,hamujakadiri,pamekadiri,visingekadiri,litakaokadiri,isiokadiri,kikadiri,tusingalikadiri,anaokadiri,kukikadiri,zingekadiri,kinakadiri,hapakadiri,kitakadiri,yameshakadiri,mkakadiri,sijakadiri,nikadiri,kikakadiri,likikadiri,amekadiri,angalikadiri,usingalikadiri,ukadiri,yalikadiri,hawakukadiri,vingalikadiri,singalikadiri,hamjakadiri,liliokadiri,pameshakadiri,tukadiri,yasipokadiri,mngekadiri,naliokadiri,linakadiri,tungelikadiri,ilikadiri,zisingekadiri,imekadiri,hayangekadiri,mungelikadiri,zisiokadiri,estimate,asiokadiri,vimekadiri,kusipokadiri,hatukukadiri,mungalikadiri,wasipokadiri,isipokadiri,singekadiri,nimeshakadiri,muliokadiri,hawangekadiri,halingalikadiri,wangalikadiri,kutakaokadiri,munakadiri,imeshakadiri,yakikadiri,hutakadiri,angekadiri,hapangalikadiri,tunaokadiri,tutakaokadiri,tusiokadiri,yasingekadiri,unaokadiri,iliokadiri,kinaokadiri,utakadiri,ingekadiri,kingelikadiri,haitakadiri,zingelikadiri,hakukukadiri,twakadiri,zikikadiri,yasikadiri,kunakadiri,lisingalikadiri,kungekadiri,itakaokadiri,sikadiri,hangekadiri,mnaokadiri,wakakadiri,twaliokadiri,haungekadiri,nisingekadiri,hakikadiri,haingekadiri,ningelikadiri,hamukadiri,patakaokadiri,tumeshakadiri,niliokadiri,kimekadiri,litakadiri,havingekadiri,zisipokadiri,ninakadiri,kungalikadiri,likakadiri,hamngekadiri,mmekadiri,kwakadiri,hazingalikadiri,kadirika,utakaokadiri,nitakadiri,ungekadiri,kutakadiri,zimeshakadiri,kimeshakadiri,zitakadiri,zinakadiri,lisikadiri,hawatakadiri,kusingekadiri,mutakaokadiri,hamkadiri,yasiokadiri,hakutakadiri,chakadiri,pakikadiri,msiokadiri,ninaokadiri,lingelikadiri,mwakadiri,itakadiri,nilikadiri,ameshakadiri,isikadiri,hazikukadiri,uliokadiri,mtakaokadiri,hazitakadiri,mwaliokadiri,wasingekadiri,nisingalikadiri,munaokadiri,hatungalikadiri,akikadiri,isingalikadiri,zakadiri,kumekadiri,wakikadiri,vitakadiri,nisipokadiri,mngelikadiri,waliokadiri,kulikadiri,hakingekadiri,hazijakadiri,ingalikadiri,aliokadiri,ungalikadiri,pasingalikadiri,isingekadiri,kadiriwa,wangekadiri,vikikadiri,tusingekadiri,asipokadiri,palikadiri,nalikadiri,mumekadiri,haungalikadiri,visiokadiri,hayangalikadiri,inakadiri,pangekadiri,tunakadiri,tukikadiri,yanakadiri,mukikadiri,hayajakadiri,ikadiri,hapangekadiri,sikukadiri,kutokadiri,vingekadiri,mkikadiri,wameshakadiri,kikikadiri,kitakaokadiri,kusingalikadiri,haikukadiri,hatutakadiri,mliokadiri,tukakadiri,yatakaokadiri,tungekadiri,asingalikadiri,haikadiri,ikikadiri,zikakadiri,lingekadiri,kumeshakadiri,tungalikadiri,mngalikadiri,kingekadiri,hajakadiri,ningalikadiri,hazikadiri,hayakukadiri,zilikadiri,yangekadiri,mutakadiri,panakadiri,asingekadiri,nakadiri,naokadiri,wasingalikadiri,msingalikadiri,ningekadiri,hakungalikadiri,usiokadiri,mkadiri,angelikadiri,sitakadiri,akadiri,musingalikadiri,ziliokadiri,twalikadiri,akakadiri,haukadiri,atakadiri,hawakadiri,ulikadiri,kadirini,hapatakadiri,hautakadiri,halitakadiri,umekadiri,hatakadiri,zisingalikadiri,halikadiri,hungekadiri,havitakadiri,msingekadiri,kungelikadiri,visipokadiri,zinaokadiri,haijakadiri,yangelikadiri,hayakadiri,wasikadiri,hatujakadiri,nitakaokadiri,mungekadiri,halikukadiri,pakakadiri,hakukadiri,nimekadiri,lisingekadiri,musikadiri,lingalikadiri,tutakadiri,msikadiri,tuliokadiri,watakaokadiri,limekadiri,hakitakadiri,havijakadiri,hujakadiri,ungelikadiri,vilikadiri,yaliokadiri,asikadiri,kusikadiri,havikukadiri,hayatakadiri,hatukadiri,hawangalikadiri,hakingalikadiri,hakijakadiri,tusikadiri,musingekadiri,msipokadiri,unakadiri,anakadiri,zingalikadiri,likadiri,lilikadiri,yamekadiri,hukadiri,hukukadiri,mmeshakadiri,mulikadiri,vingelikadiri,pangelikadiri,wasiokadiri,hakungekadiri,linaokadiri,havingalikadiri,hamungekadiri,vinaokadiri,yanaokadiri,alikadiri,havikadiri,umeshakadiri,tumekadiri,yasingalikadiri,vyakadiri,mnakadiri,hamungalikadiri,limeshakadiri,watakadiri,usingekadiri,patakadiri,yakadiri,wanakadiri,usikadiri,pasiokadiri,ikakadiri,mlikadiri,hungalikadiri,hatungekadiri,vikakadiri,calculate,pasingekadiri,visingalikadiri,hamukukadiri,kingalikadiri,zisikadiri,hapajakadiri,pasikadiri,hamngalikadiri,tusipokadiri,kadiria,zimekadiri,nisikadiri,wangelikadiri
periapsis	apsis,peri-
dsrna	dsrnas,dsRNA
sorex	susurrus,ὕραξ
mobilier	mobile,-ier
jape	japen,galpa,galpen,gaber,galpon,jaupar,yelp,yawp,gjálpa,yap,gab,gelpfen,japar,japer
perisher	-er,perish
ringe	ringede,ringedes,ringende,ringer,ringet,ringen,ring,telephone,ringes,call
hydrometeorological	hydrometeorology,гидрометеорологический,hydrometeorologický
anandamide	anandamida,cannabinoid receptor,anandamides,biochemistry,brain,arachidonic acid,ethanolamide
sendo	sendi,-o
extracorporeal	extra-,corporeal
buttonwood	button,wood
colicky	-k-,colic,-y
huen	hu,hue
workaholism	workoholismus,pracoholizm,работозависност,alcoholism,workaholic
naber	haber,ne
rammer	ram,-er
fanlight	light,fan
fujimi	romaji,ふじみ
voici	voir,vois,ici
inconstancy	-cy,in-,inconstant,constancy
agnon	oignon,unio
filch	fortuneteller,folk,army,medal,pilfer,marshal,band,fortune,steal,man,troops,fylcian,filchen,host,gefylce,gypsy
stirrer	stir,-er
rapace	rapacem,rapax
innovativeness	innovative,-ness
zire	disgust,horror
wallower	-er,wallow
madou	romaji,まどう
potamogeton	ποταμός,ποταμογείτων,γείτων
thei	þey,theih,theie,they,þei,theiȝ,þæȝe
misago	romaji,みさご,ミサゴ
lenne	lesz,-ne
huskie	huskies,husky
puth	𐬞𐬎𐬯𐬁,πύκα
jockstrap	strap,bike jockey strap,jock,jockey strap
ageha	romaji,アゲハ
runnion	ronion,runnions
direly	dire,-ly
heeler	heel,-er
riachuelo	arroyo,estero,riachuelos,stream,rivulet
escultura	escultures,sculpture
matricula	matriculas,matriculât
